threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,model,auc,ap,precision_at_best_f1,recall_at_best_f1,f1_at_best_f1
0.5282677899293985,0.7006954467917597,0.2625106022052587,0.533161068044789,0.35180448991190677,619,1739,4721,542,Logistic Regression,0.674650869459711,0.2812192964569483,0.26262197708952056,0.533161068044789,0.3519044911877329
0.6220287223506109,0.8117045007216901,0.39970717423133234,0.4702842377260982,0.43213296398891965,546,820,5640,615,Decision Tree,0.7586011978570838,0.3787420020522587,0.425,0.45391903531438416,0.43898375676751394
0.2626130884154083,0.8156409919958011,0.4245049504950495,0.590869939707149,0.49405833633417356,686,930,5530,475,Random Forest,0.8077886043578318,0.465477575129646,0.4247678018575851,0.590869939707149,0.49423631123870637
