,Remaining NaNs,Unique Values,Data Type
AFLHCA17,0,2,int64
AFLHCA18,0,2,int64
AFLHCA2,0,2,int64
AFLHCA3,0,2,int64
AFLHCA4,0,2,int64
AFLHCA5,0,2,int64
AFLHCA6,0,2,int64
AFLHCA7,0,2,int64
AFLHCA8,0,2,int64
AFLHCA9,0,2,int64
AFLHCA90,0,2,int64
AFLHCA91,0,2,int64
AHSTATYR,0,5,int64
ALCHRC1,0,3,int64
ALCHRC10,0,1,int64
ALCHRC11,0,3,int64
ALCHRC12,0,1,int64
ALCHRC13,0,1,int64
ALCHRC15,0,1,int64
ALCHRC16,0,1,int64
ALCHRC17,0,3,int64
ALCHRC18,0,3,int64
ALCHRC19,0,1,int64
ALCHRC2,0,3,int64
ALCHRC20,0,3,int64
ALCHRC21,0,3,int64
ALCHRC22,0,3,int64
ALCHRC23,0,3,int64
ALCHRC24,0,3,int64
ALCHRC25,0,3,int64
ALCHRC26,0,2,int64
ALCHRC27,0,3,int64
ALCHRC28,0,2,int64
ALCHRC29,0,1,int64
ALCHRC3,0,1,int64
ALCHRC30,0,3,int64
ALCHRC31,0,2,int64
ALCHRC32,0,1,int64
ALCHRC33,0,3,int64
ALCHRC34,0,1,int64
ALCHRC4,0,3,int64
ALCHRC5,0,3,int64
ALCHRC6,0,3,int64
ALCHRC7,0,1,int64
ALCHRC8,0,1,int64
ALCHRC9,0,1,int64
ALCHRC90,0,3,int64
ALCHRC91,0,1,int64
ALCHRONR,0,4,int64
ALCNDRT,0,3,int64
ALDURA1,0,68,int64
ALDURA10,0,53,int64
ALDURA11,0,68,int64
ALDURA12,0,32,int64
ALDURA13,0,33,int64
ALDURA15,0,34,float64
ALDURA16,0,23,int64
ALDURA17,0,75,int64
ALDURA18,0,67,int64
ALDURA19,0,28,int64
ALDURA2,0,53,int64
ALDURA20,0,74,int64
ALDURA21,0,46,int64
ALDURA22,0,37,int64
ALDURA23,0,70,int64
ALDURA24,0,33,int64
ALDURA25,0,36,int64
ALDURA26,0,10,int64
ALDURA27,0,9,int64
ALDURA28,0,15,int64
ALDURA29,0,3,int64
ALDURA3,0,75,int64
ALDURA30,0,40,int64
ALDURA31,0,16,int64
ALDURA32,0,32,int64
ALDURA33,0,28,int64
ALDURA34,0,2,int64
ALDURA4,0,82,int64
ALDURA5,0,61,int64
ALDURA6,0,50,int64
ALDURA7,0,59,int64
ALDURA8,0,35,int64
ALDURA9,0,54,int64
ALDURA90,0,36,int64
ALDURA91,0,2,int64
ALDURB1,0,7,int64
ALDURB10,0,5,int64
ALDURB11,0,6,int64
ALDURB12,0,5,int64
ALDURB13,0,1,int64
ALDURB15,0,2,int64
ALDURB16,0,5,int64
ALDURB17,0,7,int64
ALDURB18,0,4,int64
ALDURB19,0,5,int64
ALDURB2,0,7,int64
ALDURB20,0,7,int64
ALDURB21,0,7,int64
ALDURB22,0,6,int64
ALDURB23,0,5,int64
ALDURB24,0,5,int64
ALDURB25,0,7,int64
ALDURB26,0,3,int64
ALDURB27,0,4,int64
ALDURB28,0,4,int64
ALDURB29,0,1,int64
ALDURB3,0,7,int64
ALDURB30,0,4,int64
ALDURB31,0,4,int64
ALDURB32,0,7,int64
ALDURB33,0,5,int64
ALDURB34,0,3,int64
ALDURB4,0,7,int64
ALDURB5,0,6,int64
ALDURB6,0,6,int64
ALDURB7,0,7,int64
ALDURB8,0,4,int64
ALDURB9,0,7,int64
ALDURB90,0,6,int64
ALDURB91,0,1,int64
ALHCA14A,0,2,int64
ALTIME1,0,60,int64
ALTIME10,0,53,int64
ALTIME11,0,54,int64
ALTIME12,0,31,int64
ALTIME13,0,1,int64
ALTIME15,0,22,int64
ALTIME16,0,22,int64
ALTIME17,0,66,int64
ALTIME18,0,56,int64
ALTIME19,0,29,int64
ALTIME2,0,49,int64
ALTIME20,0,71,int64
ALTIME21,0,44,int64
ALTIME22,0,36,int64
ALTIME23,0,70,int64
ALTIME24,0,33,int64
ALTIME25,0,35,int64
ALTIME26,0,11,int64
ALTIME27,0,7,int64
ALTIME28,0,17,float64
ALTIME29,0,3,int64
ALTIME3,0,69,int64
ALTIME30,0,31,int64
ALTIME31,0,20,int64
ALTIME32,0,32,int64
ALTIME33,0,21,int64
ALTIME34,0,11,int64
ALTIME4,0,78,int64
ALTIME5,0,60,int64
ALTIME6,0,48,int64
ALTIME7,0,56,int64
ALTIME8,0,37,int64
ALTIME9,0,52,int64
ALTIME90,0,30,int64
ALTIME91,0,2,int64
ALUNIT1,0,7,int64
ALUNIT10,0,5,int64
ALUNIT11,0,7,int64
ALUNIT12,0,4,int64
ALUNIT13,0,1,int64
ALUNIT15,0,3,int64
ALUNIT16,0,5,int64
ALUNIT17,0,8,int64
ALUNIT18,0,5,int64
ALUNIT19,0,5,int64
ALUNIT2,0,8,int64
ALUNIT20,0,8,int64
ALUNIT21,0,7,int64
ALUNIT22,0,6,int64
ALUNIT23,0,6,int64
ALUNIT24,0,4,int64
ALUNIT25,0,7,int64
ALUNIT26,0,4,int64
ALUNIT27,0,4,int64
ALUNIT28,0,3,int64
ALUNIT29,0,1,int64
ALUNIT3,0,8,int64
ALUNIT30,0,4,int64
ALUNIT31,0,5,int64
